Machine_ID,Temperature,Run_Time,Downtime_Flag
M018,76.3,14.87,0
M017,20.6,19.7,0
M010,94.5,2.93,1
M005,41.2,21.41,0
M018,32.4,7.12,0
M007,77.4,5.28,0
M009,60.4,6.4,0
M002,27.4,10.45,0
M009,23.5,8.34,0
M005,71.0,6.66,1
M015,64.1,10.55,0
M001,28.9,22.71,1
M005,63.6,20.11,1
M019,64.2,10.6,0
M002,44.7,21.63,0
M002,91.9,5.44,0
M008,73.4,8.81,0
M018,90.7,10.05,1
M020,80.0,22.26,1
M008,89.2,23.44,1
M006,90.5,1.08,1
M011,82.6,10.18,1
M008,41.3,19.0,0
M004,50.6,1.41,0
M016,37.8,19.69,0
M015,48.0,19.78,0
M008,37.8,16.01,0
M013,46.3,20.81,1
M009,48.1,12.47,0
M018,46.5,1.15,0
M009,34.3,23.12,1
M009,23.1,14.52,0
M012,78.3,7.87,0
M020,98.7,3.22,0
M019,35.2,1.54,0
M014,20.1,22.25,1
M018,74.9,22.6,0
M007,49.1,2.14,0
M011,69.9,16.09,0
M004,77.6,7.56,1
M010,73.4,8.17,0
M010,64.4,5.01,0
M013,74.2,21.72,1
M020,65.5,10.04,0
M001,44.3,5.44,1
M019,68.5,8.07,1
M015,55.4,5.52,0
M016,83.5,23.06,1
M006,72.7,7.17,0
M020,46.8,19.73,0
M008,73.8,5.78,0
M007,31.8,1.59,0
M016,68.9,18.56,0
M015,53.2,15.3,0
M007,77.5,9.52,0
M013,39.5,15.92,1
M001,91.4,20.72,0
M004,82.3,5.64,0
M017,57.2,13.6,0
M004,56.5,19.33,1
M017,99.0,14.49,0
M015,69.0,17.4,0
M017,54.1,21.81,1
M015,91.8,17.98,0
M016,56.0,18.17,0
M009,81.3,12.75,1
M008,42.0,2.32,0
M010,38.8,8.39,0
M018,26.4,4.04,0
M013,75.5,17.1,0
M003,53.2,8.28,0
M015,53.3,5.36,0
M014,51.2,18.59,0
M001,88.5,18.49,0
M013,58.2,22.65,1
M010,80.3,20.56,1
M014,63.1,17.76,0
M020,91.8,11.97,1
M009,54.9,1.18,0
M011,73.5,19.26,0
M006,87.2,22.11,0
M020,62.7,21.81,1
M019,65.2,1.14,0
M014,30.9,11.35,1
M002,40.8,8.19,0
M015,46.1,18.39,0
M013,42.3,22.85,0
M014,40.2,2.42,1
M001,79.9,1.72,0
M012,37.9,2.11,0
M002,80.3,22.82,1
M007,87.1,15.1,1
M008,30.1,16.23,0
M019,95.8,11.43,1
M009,81.4,4.44,0
M020,97.1,17.38,0
M006,97.2,3.04,1
M001,94.3,14.03,1
M013,51.7,17.3,0
M003,67.4,20.02,1
M008,28.2,18.65,0
M020,84.4,19.21,1
M019,82.6,8.66,1
M014,72.9,2.12,0
M011,21.0,10.37,0
M016,28.4,23.08,1
M015,76.6,10.73,0
M017,97.2,6.85,0
M018,82.0,11.42,1
M019,41.5,20.52,1
M003,42.3,11.09,0
M015,65.6,16.2,0
M011,22.3,20.5,1
M006,59.0,8.84,0
M009,47.2,21.19,0
M009,64.5,12.64,0
M007,26.8,17.42,0
M016,64.4,6.15,0
M016,71.7,12.03,0
M001,27.4,5.71,0
M008,44.5,14.17,0
M016,64.3,8.58,0
M018,46.5,17.02,0
M009,44.5,5.92,0
M007,45.2,17.96,0
M006,35.3,17.86,0
M009,78.0,23.45,1
M017,67.7,23.54,0
M007,43.7,8.98,0
M010,21.1,13.05,0
M009,23.6,1.78,0
M010,75.8,3.47,1
M016,28.2,0.79,0
M010,57.6,10.85,0
M006,97.2,6.43,1
M016,29.1,2.04,0
M016,25.9,15.29,0
M002,32.1,19.56,0
M010,26.8,6.33,0
M018,81.2,14.75,0
M020,38.1,12.78,0
M015,92.7,7.49,0
M019,99.2,7.68,0
M020,24.8,23.06,1
M004,95.8,5.38,0
M007,41.2,2.41,1
M008,33.9,2.26,1
M001,52.7,16.7,1
M016,43.3,5.94,0
M010,76.2,11.17,0
M008,93.9,19.01,1
M019,72.9,22.44,1
M014,29.2,5.78,1
M005,92.7,19.93,1
M003,24.8,19.13,0
M020,79.9,13.88,0
M010,55.1,11.51,0
M010,76.0,22.65,1
M017,63.2,10.79,0
M020,23.2,10.65,0
M011,68.3,1.11,0
M008,97.0,20.15,1
M019,67.0,0.99,0
M009,66.1,18.43,0
M006,57.6,15.81,0
M009,34.5,14.26,0
M016,97.5,11.55,1
M014,46.7,16.25,0
M006,46.4,16.8,0
M010,73.0,9.91,0
M018,22.9,2.57,0
M009,45.9,23.3,1
M013,89.2,19.89,1
M001,72.6,13.25,0
M014,24.3,12.68,0
M020,80.5,15.2,1
M002,36.3,13.41,0
M010,55.0,16.91,0
M004,22.3,15.31,1
M008,76.8,7.8,0
M001,64.2,2.69,0
M004,56.9,3.26,0
M005,59.9,17.34,0
M017,76.4,10.26,0
M016,98.4,6.23,1
M018,31.6,4.98,0
M020,60.7,21.16,1
M003,42.1,19.07,0
M014,47.2,19.01,0
M009,85.6,7.15,1
M010,87.0,14.13,0
M016,89.2,10.99,1
M016,47.6,13.47,0
M018,50.2,22.42,0
M007,98.5,6.11,1
M013,38.7,18.73,0
M002,45.5,11.61,0
M013,50.9,16.1,0
M005,59.6,1.37,0
M017,97.2,8.3,0
M004,89.9,10.85,1
M017,92.8,0.86,1
M005,52.8,15.89,0
M005,26.0,18.87,0
M009,47.1,16.78,0
M003,88.1,20.53,0
M018,50.4,7.94,0
M016,89.8,1.34,1
M003,38.8,16.58,0
M010,99.8,18.05,1
M014,98.3,18.37,1
M004,55.5,16.81,0
M001,23.7,19.21,0
M010,48.7,10.62,0
M008,62.5,13.8,0
M006,33.6,2.36,0
M013,69.6,6.16,0
M019,31.4,11.34,0
M009,56.8,16.17,1
M015,92.1,16.42,1
M006,25.9,22.71,1
M019,43.9,23.11,1
M009,56.5,7.6,0
M013,88.3,3.01,0
M013,65.8,14.01,0
M010,21.8,20.01,1
M013,42.0,13.8,0
M002,92.8,18.01,1
M010,82.1,5.91,0
M012,37.5,4.97,1
M009,74.2,17.44,0
M005,70.3,21.73,1
M002,44.7,10.86,0
M019,49.2,3.59,0
M010,46.1,10.26,0
M007,30.6,13.18,0
M012,62.5,21.97,1
M006,40.6,19.88,0
M016,97.4,7.44,0
M011,84.3,11.51,0
M003,31.3,23.21,0
M013,97.4,19.41,1
M012,27.2,9.77,0
M009,62.9,11.19,0
M009,66.8,19.83,0
M012,28.7,5.99,0
M001,69.6,22.66,1
M011,93.2,5.7,0
M003,70.8,11.41,0
M010,71.9,3.24,0
M002,95.7,7.65,1
M016,29.3,6.02,0
M018,30.9,11.16,0
M018,53.5,17.94,0
M005,90.8,15.89,1
M016,69.3,22.57,1
M009,22.6,9.21,0
M015,55.6,6.05,0
M012,27.9,16.61,0
M018,92.1,15.65,0
M002,51.9,4.96,0
M004,95.9,19.87,0
M003,73.0,15.58,0
M020,97.7,1.69,1
M011,39.5,3.46,0
M019,36.4,20.0,0
M018,36.6,5.57,0
M008,46.3,3.97,0
M020,20.2,20.67,1
M005,99.0,13.2,1
M006,28.8,20.86,1
M005,21.2,19.06,1
M008,67.1,0.87,1
M009,24.2,17.93,0
M017,29.1,1.99,0
M015,82.2,12.56,0
M004,56.2,5.71,0
M020,23.5,18.91,0
M017,44.1,15.62,0
M001,24.9,11.76,0
M013,54.1,3.04,0
M015,25.9,2.4,0
M020,31.9,3.47,0
M020,70.6,13.39,0
M011,50.5,14.54,0
M010,56.3,14.73,0
M004,83.4,3.19,1
M018,77.7,5.55,0
M015,91.0,10.22,1
M015,51.9,17.65,0
M011,54.1,16.13,0
M012,96.3,16.64,0
M016,25.4,20.05,0
M003,54.6,18.0,0
M012,84.9,13.57,1
M019,96.5,13.7,1
M004,52.9,21.03,1
M014,89.4,17.44,1
M010,68.0,8.76,0
M019,60.6,4.14,0
M016,37.9,3.04,1
M018,49.4,18.42,0
M019,38.1,10.58,0
M018,98.0,19.73,1
M020,74.0,13.58,0
M020,94.3,19.99,0
M009,22.3,6.92,1
M010,93.7,8.75,1
M006,89.6,13.81,1
M013,25.6,17.91,0
M001,27.3,12.97,0
M013,53.6,8.51,0
M012,44.9,8.12,0
M019,67.7,21.26,1
M005,32.6,15.02,0
M003,41.8,16.06,0
M016,68.6,10.23,1
M007,80.4,3.17,1
M014,28.9,16.44,0
M019,58.9,16.18,0
M002,37.6,23.63,1
M002,20.6,7.58,0
M007,81.4,18.46,1
M010,46.2,0.68,0
M014,34.1,9.43,0
M008,60.0,20.08,1
M012,25.8,20.75,1
M002,54.9,11.3,0
M003,89.0,14.03,1
M019,52.4,15.54,0
M010,29.2,0.99,0
M011,33.7,22.77,1
M015,86.6,22.11,1
M003,54.9,2.99,0
M014,67.1,12.81,0
M013,89.6,18.03,0
M008,46.6,4.45,0
M017,70.7,12.97,0
M007,92.5,8.71,0
M005,38.9,3.94,0
M007,33.9,4.09,0
M003,34.2,18.66,0
M016,57.1,13.75,0
M019,55.9,22.22,1
M019,71.4,23.68,0
M011,89.1,15.24,0
M005,55.2,11.52,1
M010,83.7,14.4,1
M012,60.6,7.79,0
M015,23.0,9.17,0
M010,26.1,20.81,1
M003,69.2,12.42,1
M015,66.4,22.92,1
M002,56.0,19.53,0
M007,45.7,11.68,0
M005,96.6,11.09,1
M011,98.6,2.48,1
M006,23.1,17.13,0
M015,61.9,14.83,1
M012,49.8,7.15,0
M014,82.0,16.45,1
M002,83.1,15.71,0
M003,46.4,13.61,0
M013,42.7,17.51,0
M020,89.9,8.33,0
M019,73.1,22.04,0
M010,97.4,16.91,1
M013,30.3,17.16,0
M003,44.8,9.35,0
M011,85.1,16.25,1
M017,27.5,16.26,0
M017,48.9,9.02,0
M006,96.1,8.53,1
M016,35.4,24.0,0
M005,26.2,20.34,1
M004,60.6,13.18,0
M017,23.0,8.41,1
M020,30.5,9.35,0
M006,34.5,16.78,0
M020,84.7,4.39,1
M015,23.5,9.06,1
M008,97.6,14.85,0
M015,38.7,6.12,0
M016,92.3,5.06,1
M019,98.8,11.35,1
M010,82.2,12.32,1
M014,97.3,19.7,1
M020,31.1,6.38,0
M016,89.9,13.53,1
M004,76.9,12.62,0
M004,42.8,18.43,1
M009,55.9,12.56,0
M014,27.3,21.9,0
M015,90.8,22.37,1
M014,24.3,12.3,0
M008,50.9,2.42,0
M008,22.3,22.37,1
M011,83.3,3.73,0
M010,93.4,11.6,0
M005,80.7,11.52,1
M020,20.4,2.36,0
M009,37.3,4.01,0
M020,62.2,3.11,0
M010,39.0,3.36,1
M008,53.6,19.16,1
M015,25.0,20.16,1
M016,67.7,0.89,0
M017,66.0,17.39,0
M010,54.3,14.95,0
M008,65.7,4.9,0
M003,61.9,8.97,0
M017,63.5,18.98,1
M017,64.3,9.68,0
M016,23.5,9.59,1
M012,40.3,0.88,0
M003,47.6,17.72,0
M004,81.7,17.78,1
M011,30.7,8.78,1
M011,85.1,4.61,1
M015,98.5,11.75,0
M006,84.9,1.98,0
M015,23.0,5.24,0
M007,90.9,7.92,1
M010,61.2,23.74,1
M018,57.9,1.36,0
M007,42.9,20.76,1
M002,89.3,8.3,1
M004,83.9,10.77,1
M013,79.5,21.52,1
M013,47.1,4.89,0
M016,49.4,19.24,0
M009,84.1,17.59,1
M003,54.4,23.88,0
M006,63.6,8.05,0
M003,46.2,7.45,0
M015,68.2,10.51,0
M015,48.1,1.5,1
M012,69.2,10.72,1
M002,26.0,15.48,0
M012,61.0,18.12,0
M006,96.2,3.86,1
M020,74.2,10.8,0
M005,25.4,18.8,0
M012,49.0,22.81,1
M002,68.4,16.46,0
M012,49.8,18.43,1
M019,31.0,9.12,0
M011,72.0,6.37,0
M004,22.1,4.87,0
M017,51.0,13.7,0
M009,82.0,17.04,1
M007,99.7,7.21,0
M016,36.0,3.69,0
M003,56.2,21.62,1
M015,99.8,19.55,1
M011,73.4,17.17,0
M018,63.4,21.45,1
M006,76.9,22.29,1
M006,83.5,12.46,1
M004,98.8,19.11,1
M008,83.2,1.12,1
M018,65.8,11.48,0
M018,30.4,21.28,0
M003,44.7,23.99,1
M016,62.1,18.58,0
M019,25.9,23.35,1
M003,56.0,16.48,0
M012,30.3,19.98,0
M018,71.2,4.78,0
M005,54.6,21.9,1
M002,86.5,12.68,1
M010,33.2,8.08,0
M008,47.7,22.61,1
M010,87.7,6.39,1
M018,42.0,15.19,0
M020,62.7,12.31,0
M006,67.3,14.15,0
M006,72.7,17.43,0
M020,47.0,22.21,1
M002,86.0,1.17,1
M002,95.9,18.62,1
M009,72.1,18.52,0
M014,69.4,1.21,1
M018,43.2,22.98,1
M016,39.6,19.47,0
M013,43.8,2.21,0
M002,32.6,10.27,1
M015,36.3,14.76,0
M011,88.9,8.0,1
M012,98.0,3.57,1
M012,61.2,3.0,0
M008,57.3,6.79,0
M008,31.3,1.69,0
M013,89.1,10.33,0
M006,85.1,22.44,0
M011,35.2,4.24,0
M017,57.3,21.16,1
M016,21.9,22.71,0
M017,56.6,6.16,0
M019,48.2,1.69,0
M016,67.8,20.31,1
M016,42.9,0.69,0
M004,54.5,21.24,0
M012,81.1,9.1,0
M013,24.1,13.7,0
M012,64.3,2.23,0
M017,56.0,13.42,0
M020,74.4,3.29,0
M004,51.5,19.18,0
M011,64.6,9.09,0
M005,35.9,12.46,0
M017,23.2,1.41,0
M011,84.3,12.7,1
M005,68.5,12.61,0
M011,94.5,7.99,1
M013,99.2,17.87,0
M010,67.5,12.42,0
M017,62.6,17.16,0
M010,58.0,0.89,0
M011,73.9,23.53,1
M019,44.6,21.62,1
M001,67.8,6.74,0
M019,66.2,17.45,0
M019,58.4,12.82,0
M020,82.0,9.43,1
M008,22.5,22.78,0
M004,35.3,10.86,0
M014,32.1,16.73,0
M014,60.1,14.87,0
M016,89.8,17.79,1
M002,76.5,12.69,0
M018,46.0,16.06,0
M017,50.1,22.98,1
M015,93.0,8.54,0
M012,74.1,20.89,0
M009,68.8,5.02,0
M008,42.3,7.51,0
M010,81.7,17.07,1
M016,45.4,8.7,0
M009,43.0,13.98,0
M018,50.4,23.53,1
M012,96.4,19.41,1
M010,23.4,22.95,0
M003,47.7,10.9,0
M009,79.8,5.53,0
M018,41.7,13.71,0
M009,31.0,14.97,0
M019,39.1,1.69,0
M017,38.1,5.97,0
M004,53.1,17.36,0
M004,74.5,3.73,0
M018,98.2,4.21,1
M016,58.2,5.19,0
M010,45.7,15.68,0
M003,72.2,5.96,0
M002,93.1,4.61,0
M006,94.7,1.35,1
M013,83.0,4.88,1
M010,90.1,0.72,1
M019,68.2,22.32,1
M011,42.8,23.74,0
M018,61.9,21.4,0
M005,88.1,11.5,1
M007,84.7,8.27,1
M015,71.9,17.39,0
M001,78.9,19.08,0
M019,74.0,5.04,1
M020,88.5,21.58,1
M014,61.2,2.54,0
M004,34.8,3.8,0
M011,94.9,0.66,0
M013,38.8,18.21,0
M011,44.2,17.49,0
M001,40.9,8.95,0
M008,25.0,3.28,0
M010,32.8,16.62,0
M010,75.2,15.51,0
M010,49.4,5.69,0
M005,58.3,11.19,0
M020,49.9,17.0,0
M016,80.6,19.35,1
M007,80.9,16.49,0
M020,89.9,2.42,1
M015,62.3,9.0,1
M019,29.0,19.98,0
M017,36.2,13.11,0
M006,46.2,12.73,0
M004,74.4,17.35,0
M016,27.3,12.49,0
M002,56.3,12.56,1
M015,65.1,13.63,0
M010,77.9,9.8,0
M001,79.7,14.09,0
M002,53.9,16.96,0
M018,99.5,22.46,0
M003,98.9,11.59,1
M010,52.7,18.57,0
M014,50.0,21.45,1
M015,89.6,21.81,0
M013,26.4,23.16,0
M018,30.6,20.72,1
M004,34.3,13.13,0
M017,30.2,23.5,1
M001,80.5,23.49,0
M015,73.9,13.29,0
M018,50.3,5.9,0
M015,47.7,6.98,0
M004,22.6,16.01,0
M020,81.3,21.27,0
M001,39.3,2.08,0
M020,22.7,14.55,1
M002,39.6,1.54,0
M015,38.7,5.61,0
M002,31.2,23.85,0
M008,85.3,17.69,1
M011,66.2,18.65,0
M011,39.0,21.09,1
M017,37.7,7.56,0
M002,64.5,14.4,0
M006,70.1,10.54,0
M016,23.8,8.59,1
M013,82.9,7.99,1
M014,52.7,7.55,1
M006,80.4,11.63,0
M008,44.1,17.13,0
M015,93.2,13.72,1
M014,64.6,3.65,0
M008,40.4,8.26,0
M003,93.8,20.41,1
M003,62.9,19.99,0
M002,41.5,16.33,0
M020,23.2,2.21,0
M019,77.9,13.63,0
M016,36.7,21.82,0
M010,96.6,0.86,0
M007,97.0,3.26,0
M016,93.2,16.85,1
M007,51.7,6.12,0
M011,82.0,9.45,1
M018,71.9,7.75,0
M012,61.0,12.19,0
M004,84.2,17.48,1
M011,93.1,9.21,1
M014,23.7,20.81,1
M005,21.3,13.5,0
M019,66.3,10.31,0
M005,35.7,5.91,0
M019,86.7,12.23,1
M011,40.6,19.81,0
M016,56.9,17.72,0
M012,33.5,17.43,0
M016,34.7,21.4,1
M002,61.9,20.22,1
M003,95.6,16.2,1
M001,53.0,20.3,1
M008,25.4,4.05,0
M007,60.5,9.27,1
M020,71.0,22.45,1
M016,72.7,0.87,0
M018,64.1,0.78,0
M017,77.8,13.09,0
M010,21.4,19.61,0
M014,84.5,21.88,1
M004,93.4,12.82,1
M008,35.4,12.87,0
M012,41.4,9.83,0
M012,96.7,11.29,1
M008,99.2,5.81,0
M003,72.3,20.67,1
M002,27.5,9.41,0
M018,58.1,15.46,0
M006,26.6,20.37,1
M011,65.3,20.66,1
M004,91.6,22.1,1
M008,36.9,20.9,1
M019,58.0,1.59,0
M003,74.8,7.09,0
M018,65.1,1.27,0
M011,21.3,5.37,0
M005,80.2,17.25,1
M013,94.3,7.53,0
M019,39.2,20.11,0
M013,74.2,13.2,0
M013,80.4,3.79,1
M003,60.1,23.4,1
M002,27.8,5.96,0
M003,47.2,18.57,0
M020,51.7,18.68,0
M001,70.7,18.91,0
M015,59.2,8.86,0
M013,54.5,16.47,1
M013,26.9,15.04,0
M008,77.0,2.43,0
M005,50.4,18.92,0
M005,79.2,7.94,1
M004,27.3,22.66,0
M015,48.8,6.84,0
M005,27.0,10.63,0
M018,64.4,10.09,0
M001,27.2,13.52,0
M020,67.8,8.12,0
M013,21.0,10.22,1
M003,78.0,13.65,0
M008,65.8,4.49,0
M013,33.6,6.82,1
M009,59.4,1.99,0
M014,42.1,7.54,0
M003,48.9,22.69,1
M016,67.5,5.1,0
M004,30.8,0.66,0
M013,46.6,15.07,0
M011,55.2,10.62,1
M020,30.9,8.04,1
M007,58.3,4.67,0
M013,97.5,7.35,0
M016,97.4,18.88,1
M011,50.1,19.69,0
M013,49.2,22.4,0
M007,67.4,13.32,1
M018,22.2,17.59,0
M007,55.1,7.35,0
M003,85.5,19.2,1
M014,73.8,3.77,0
M010,39.4,15.98,0
M014,83.1,2.24,1
M020,58.3,9.92,0
M017,93.9,20.94,0
M014,63.5,19.08,0
M012,76.1,19.59,0
M020,71.1,2.5,0
M008,72.6,8.84,1
M020,23.5,23.61,1
M013,97.3,8.29,1
M014,28.5,2.82,0
M008,60.9,12.69,0
M019,75.0,5.69,0
M012,51.3,18.65,0
M019,75.2,4.04,0
M001,58.6,7.44,0
M003,29.3,22.61,1
M005,47.9,8.56,0
M007,61.7,8.69,1
M004,55.1,16.87,0
M011,25.4,1.55,0
M004,21.8,8.56,0
M004,74.2,4.36,0
M008,61.3,13.47,0
M011,64.8,23.02,0
M008,83.8,15.3,1
M006,71.2,10.66,0
M001,79.0,21.25,1
M015,67.4,9.64,0
M007,36.5,18.18,1
M003,66.2,19.29,0
M018,35.0,8.16,0
M015,29.1,16.26,0
M016,62.2,15.52,0
M020,51.1,9.72,0
M004,47.8,20.37,1
M020,33.8,16.33,0
M010,93.5,14.37,0
M005,45.1,6.11,0
M004,34.6,16.8,0
M017,51.1,14.52,0
M019,50.7,4.87,0
M018,75.5,15.66,0
M006,64.4,12.01,0
M005,35.0,20.29,1
M020,24.3,8.94,0
M001,58.8,5.09,0
M013,97.1,12.38,1
M016,52.7,12.06,0
M015,59.1,2.44,0
M001,83.7,5.68,1
M002,42.0,13.13,1
M006,82.5,13.79,1
M016,64.0,3.16,0
M004,41.4,13.26,0
M012,63.4,18.28,0
M015,63.7,23.76,0
M004,78.9,15.86,0
M008,43.8,23.98,1
M015,41.0,20.76,1
M003,55.1,23.86,0
M008,36.8,17.83,0
M012,88.9,14.84,0
M014,33.3,3.77,0
M007,85.1,19.43,0
M019,48.1,7.11,0
M018,33.5,23.51,1
M010,43.1,6.78,0
M017,98.8,16.46,1
M004,30.8,18.13,0
M014,93.5,23.82,0
M005,76.1,3.62,0
M005,76.9,19.97,0
M013,59.2,14.07,0
M009,70.2,9.32,0
M003,70.7,21.18,1
M003,52.2,18.12,0
M012,56.4,11.97,0
M019,20.2,18.69,0
M003,78.5,11.27,0
M012,88.0,19.2,0
M013,37.4,10.6,0
M007,59.6,8.09,0
M010,47.0,14.08,0
M019,88.2,19.03,0
M002,23.7,15.22,0
M015,21.3,22.34,1
M006,55.3,0.52,0
M014,36.2,16.68,0
M005,90.6,7.59,1
M009,27.5,8.97,0
M003,49.7,21.74,1
M006,24.1,15.2,0
M008,54.3,2.64,0
M004,20.1,11.7,0
M005,67.5,12.71,0
M015,20.7,16.85,0
M004,99.1,10.42,1
M005,58.2,5.88,0
M003,78.5,2.91,1
M011,49.4,7.53,0
M013,81.9,18.2,0
M005,71.3,16.41,0
M003,62.4,0.7,0
M006,55.2,17.48,0
M005,93.6,14.98,1
M015,88.8,2.54,1
M004,31.2,3.39,0
M013,48.1,10.59,0
M005,39.8,15.65,0
M008,64.3,14.6,0
M020,42.8,22.62,0
M001,87.8,15.97,0
M010,36.4,14.76,0
M007,79.8,7.45,1
M002,82.7,19.15,1
M008,59.6,3.15,0
M016,71.0,2.17,0
M001,99.0,22.45,0
M005,50.9,20.22,1
M014,49.2,16.55,0
M016,96.4,18.6,1
M001,67.0,0.82,0
M007,23.2,1.92,0
M013,60.5,15.27,0
M017,81.4,10.45,1
M013,26.6,13.11,0
M020,32.2,2.46,0
M003,60.9,5.28,0
M005,62.9,9.68,1
M003,44.8,10.78,0
M008,24.6,2.53,0
M014,29.3,14.89,0
M002,44.7,17.93,0
M006,29.6,17.14,0
M001,33.1,22.9,1
M017,61.4,19.83,0
M009,33.4,3.48,0
M009,78.6,3.27,0
M001,46.8,10.59,0
M017,25.1,17.24,0
M019,70.2,12.16,0
M017,48.8,12.24,0
M019,33.4,4.2,0
M004,91.5,16.34,0
M004,38.3,12.46,0
M002,88.7,0.79,0
M002,57.7,9.5,0
M005,34.3,23.07,1
M002,64.2,21.98,0
M014,38.0,6.33,0
M011,41.7,2.33,0
M012,29.6,16.32,0
M002,34.3,19.4,1
M002,96.3,2.12,1
M015,89.3,18.68,0
M010,46.2,13.5,0
M001,49.5,7.35,0
M010,79.2,6.2,0
M012,67.3,12.09,0
M007,78.6,13.34,0
M008,32.0,22.41,1
M001,38.6,8.64,0
M001,96.1,0.53,1
M013,87.9,17.59,0
M004,36.4,23.6,0
M014,59.4,1.91,0
M005,76.9,2.69,0
M008,91.8,12.71,1
M012,56.7,18.08,0
M019,27.6,3.64,0
M013,26.0,13.84,0
M014,73.0,3.57,0
M010,40.9,7.9,0
M013,76.1,17.78,0
M011,56.2,5.99,0
M007,30.9,18.6,0
M004,32.4,4.36,0
M015,45.1,3.34,1
M012,97.2,5.38,0
M010,57.1,20.53,1
M003,32.6,16.62,0
